139.162.84.205 - - [16/Feb/2024:12:44:27 +0000] "GET / HTTP/1.0" 200 3979
198.199.97.24 - - [16/Feb/2024:13:16:24 +0000] "GET /druid/index.html HTTP/1.1" 404 771
135.125.246.189 - - [16/Feb/2024:14:16:07 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [16/Feb/2024:14:16:08 +0000] "POST / HTTP/1.1" 200 3979
198.235.24.31 - - [16/Feb/2024:14:57:59 +0000] "GET / HTTP/1.1" 200 3979
185.180.143.79 - - [16/Feb/2024:14:58:39 +0000] "GET / HTTP/1.1" 200 3979
20.42.88.133 - - [16/Feb/2024:15:27:56 +0000] "GET /.env HTTP/1.1" 404 755
20.42.88.133 - - [16/Feb/2024:15:27:58 +0000] "POST / HTTP/1.1" 200 3979
185.224.128.55 - - [16/Feb/2024:15:44:08 +0000] "GET / HTTP/1.1" 200 3979
135.125.246.189 - - [16/Feb/2024:15:45:35 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [16/Feb/2024:15:45:36 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [16/Feb/2024:16:29:24 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:16:29:27 +0000] "POST / HTTP/1.1" 200 3979
163.123.142.146 - - [16/Feb/2024:16:33:13 +0000] "GET /.env HTTP/1.1" 404 755
163.123.142.146 - - [16/Feb/2024:16:33:13 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [16/Feb/2024:16:41:05 +0000] "GET / HTTP/1.0" 200 3979
185.224.128.55 - - [16/Feb/2024:17:16:15 +0000] "GET / HTTP/1.1" 200 3979
172.104.11.51 - - [16/Feb/2024:17:26:26 +0000] "-" 400 2241
185.254.196.173 - - [16/Feb/2024:17:37:24 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:17:37:25 +0000] "POST / HTTP/1.1" 200 3979
14.103.39.20 - - [16/Feb/2024:17:56:03 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
14.103.39.20 - - [16/Feb/2024:17:56:08 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
14.103.39.20 - - [16/Feb/2024:17:59:59 +0000] "GET /mysqladmin/scripts/setup.php HTTP/1.0" 404 787
14.103.39.20 - - [16/Feb/2024:18:00:00 +0000] "GET /SQL/scripts/setup.php HTTP/1.0" 404 780
14.103.39.20 - - [16/Feb/2024:18:00:05 +0000] "GET /phpMyAdmin-2.5.5-pl1/scripts/setup.php HTTP/1.0" 404 797
14.103.39.20 - - [16/Feb/2024:18:00:29 +0000] "GET /phpMyAdmin-2.5.4/scripts/setup.php HTTP/1.0" 404 793
14.103.39.20 - - [16/Feb/2024:18:00:30 +0000] "GET /phpMyAdmin-2.5.7-pl1/scripts/setup.php HTTP/1.0" 404 797
14.103.39.20 - - [16/Feb/2024:18:00:36 +0000] "GET /admin/pma/scripts/setup.php HTTP/1.0" 404 790
14.103.39.20 - - [16/Feb/2024:18:00:37 +0000] "GET /phpMyAdmin-2/scripts/setup.php HTTP/1.0" 404 789
14.103.39.20 - - [16/Feb/2024:18:00:53 +0000] "GET /webadmin/scripts/setup.php HTTP/1.0" 404 785
14.103.39.20 - - [16/Feb/2024:18:02:27 +0000] "GET /webdb/scripts/setup.php HTTP/1.0" 404 782
14.103.39.20 - - [16/Feb/2024:18:02:28 +0000] "GET /websql/scripts/setup.php HTTP/1.0" 404 783
14.103.39.20 - - [16/Feb/2024:18:02:28 +0000] "GET /_phpMyAdmin/scripts/setup.php HTTP/1.0" 404 788
14.103.39.20 - - [16/Feb/2024:18:02:37 +0000] "GET /php/scripts/setup.php HTTP/1.0" 404 780
14.103.39.20 - - [16/Feb/2024:18:02:38 +0000] "GET /admin/phpmyadmin/scripts/setup.txt HTTP/1.0" 404 797
14.103.39.20 - - [16/Feb/2024:18:02:38 +0000] "GET /db/scripts/setup.php HTTP/1.0" 404 779
14.103.39.20 - - [16/Feb/2024:18:02:39 +0000] "GET /sqlmanager/scripts/setup.php HTTP/1.0" 404 787
14.103.39.20 - - [16/Feb/2024:18:03:01 +0000] "GET /phpmanager/scripts/setup.php HTTP/1.0" 404 787
135.125.246.189 - - [16/Feb/2024:18:17:10 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [16/Feb/2024:18:17:10 +0000] "POST / HTTP/1.1" 200 3979
52.81.239.40 - - [16/Feb/2024:18:35:03 +0000] "GET /.DS_Store HTTP/1.1" 404 760
205.210.31.99 - - [16/Feb/2024:18:35:13 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [16/Feb/2024:19:06:45 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:19:06:46 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.189 - - [16/Feb/2024:19:33:47 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [16/Feb/2024:19:33:48 +0000] "POST / HTTP/1.1" 200 3979
141.98.11.89 - - [16/Feb/2024:19:55:59 +0000] "GET / HTTP/1.1" 200 3979
185.254.196.173 - - [16/Feb/2024:20:35:04 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:20:35:05 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [16/Feb/2024:20:41:46 +0000] "GET / HTTP/1.0" 200 3979
45.128.232.212 - - [16/Feb/2024:20:49:08 +0000] "CONNECT google.com:443 HTTP/1.1" 501 724
